CenterLat,CenterLon,lon_180,Concentration,Sigma
-57.5,297.5,-62.5,NaN,NaN
-57.5,302.5,-57.5,NaN,NaN
-57.5,307.5,-52.5,NaN,NaN
-57.5,312.5,-47.5,NaN,NaN
-57.5,317.5,-42.5,NaN,NaN
-57.5,322.5,-37.5,NaN,NaN
-57.5,327.5,-32.5,NaN,NaN
-57.5,332.5,-27.5,NaN,NaN
-57.5,337.5,-22.5,NaN,NaN
-57.5,342.5,-17.5,NaN,NaN
-57.5,347.5,-12.5,NaN,NaN
-57.5,352.5,-7.5,NaN,NaN
-57.5,357.5,-2.5,NaN,NaN
-52.5,2.5,2.5,2.823714733,0.482133687
-52.5,7.5,7.5,2.87638092,0.477566302
-52.5,12.5,12.5,2.872947216,0.465789944
-52.5,17.5,17.5,3.028755188,0.470950454
-52.5,22.5,22.5,3.126771688,0.486600459
-52.5,27.5,27.5,3.218511343,0.5027619
-52.5,32.5,32.5,3.356519222,0.521792471
-52.5,37.5,37.5,NaN,NaN
-52.5,42.5,42.5,NaN,NaN
-52.5,47.5,47.5,NaN,NaN
-52.5,52.5,52.5,NaN,NaN
-52.5,57.5,57.5,NaN,NaN
-52.5,62.5,62.5,NaN,NaN
-52.5,67.5,67.5,NaN,NaN
-52.5,72.5,72.5,NaN,NaN
-52.5,77.5,77.5,NaN,NaN
-52.5,82.5,82.5,NaN,NaN
-52.5,87.5,87.5,NaN,NaN
-52.5,92.5,92.5,NaN,NaN
-52.5,97.5,97.5,NaN,NaN
-52.5,102.5,102.5,NaN,NaN
-52.5,107.5,107.5,NaN,NaN
-52.5,112.5,112.5,NaN,NaN
-52.5,117.5,117.5,NaN,NaN
-52.5,122.5,122.5,NaN,NaN
-52.5,127.5,127.5,NaN,NaN
-52.5,132.5,132.5,NaN,NaN
-52.5,137.5,137.5,NaN,NaN
-52.5,142.5,142.5,NaN,NaN
-52.5,147.5,147.5,NaN,NaN
-52.5,152.5,152.5,NaN,NaN
-52.5,157.5,157.5,NaN,NaN
-52.5,162.5,162.5,NaN,NaN
-52.5,167.5,167.5,NaN,NaN
-52.5,172.5,172.5,NaN,NaN
-52.5,177.5,177.5,3.254058361,0.567825437
-52.5,182.5,-177.5,3.389283657,0.576672435
-52.5,187.5,-172.5,3.336001635,0.578897178
-52.5,192.5,-167.5,3.484588385,0.576588213
-52.5,197.5,-162.5,3.890158176,0.573190212
-52.5,202.5,-157.5,4.03531599,0.558114409
-52.5,207.5,-152.5,4.065345287,0.545819998
-52.5,212.5,-147.5,4.295693398,0.547587395
-52.5,217.5,-142.5,4.303627014,0.545591593
-52.5,222.5,-137.5,3.921628952,0.532815516
-52.5,227.5,-132.5,3.421873569,0.517320454
-52.5,232.5,-127.5,3.279741764,0.51283586
-52.5,237.5,-122.5,3.250715017,0.517357945
-52.5,242.5,-117.5,3.127972841,0.511919379
-52.5,247.5,-112.5,2.859791756,0.501029313
-52.5,252.5,-107.5,2.764383793,0.490190804
-52.5,257.5,-102.5,2.865314484,0.49646771
-52.5,262.5,-97.5,3.078456163,0.503527641
-52.5,267.5,-92.5,3.090837717,0.491776288
-52.5,272.5,-87.5,3.133398056,0.489210933
-52.5,277.5,-82.5,3.422889471,0.491792887
-52.5,282.5,-77.5,3.545171499,0.499931782
-52.5,287.5,-72.5,3.547002316,0.497536778
-52.5,292.5,-67.5,3.375600338,0.498584718
-52.5,297.5,-62.5,3.064044237,0.493688315
-52.5,302.5,-57.5,2.95202136,0.492004961
-52.5,307.5,-52.5,2.726322651,0.494615823
-52.5,312.5,-47.5,2.48492837,0.498388886
-52.5,317.5,-42.5,2.776846409,0.514756382
-52.5,322.5,-37.5,3.068022251,0.526832581
-52.5,327.5,-32.5,3.571297884,0.545497894
-52.5,332.5,-27.5,3.704116106,0.539934874
-52.5,337.5,-22.5,3.608940601,0.515316129
-52.5,342.5,-17.5,3.417969465,0.496059895
-52.5,347.5,-12.5,3.078364372,0.478472263
-52.5,352.5,-7.5,2.695807219,0.466065764
-52.5,357.5,-2.5,2.687505484,0.471444398
-47.5,2.5,2.5,2.782194853,0.388336986
-47.5,7.5,7.5,2.853447199,0.385887772
-47.5,12.5,12.5,2.80444622,0.375618726
-47.5,17.5,17.5,2.932888746,0.377894908
-47.5,22.5,22.5,2.998589516,0.384709477
-47.5,27.5,27.5,3.030370474,0.402899891
-47.5,32.5,32.5,3.241299868,0.435198992
-47.5,37.5,37.5,3.45792532,0.480248958
-47.5,42.5,42.5,3.699916124,0.548746049
-47.5,47.5,47.5,3.771467686,0.620864332
-47.5,52.5,52.5,4.146078587,0.699568212
-47.5,57.5,57.5,4.666052818,0.787408948
-47.5,62.5,62.5,4.785322189,0.857247651
-47.5,67.5,67.5,4.899948597,0.914135575
-47.5,72.5,72.5,NaN,NaN
-47.5,77.5,77.5,NaN,NaN
-47.5,82.5,82.5,NaN,NaN
-47.5,87.5,87.5,NaN,NaN
-47.5,92.5,92.5,NaN,NaN
-47.5,97.5,97.5,NaN,NaN
-47.5,102.5,102.5,NaN,NaN
-47.5,107.5,107.5,NaN,NaN
-47.5,112.5,112.5,NaN,NaN
-47.5,117.5,117.5,NaN,NaN
-47.5,122.5,122.5,NaN,NaN
-47.5,127.5,127.5,NaN,NaN
-47.5,132.5,132.5,NaN,NaN
-47.5,137.5,137.5,NaN,NaN
-47.5,142.5,142.5,4.443002224,0.529803336
-47.5,147.5,147.5,4.194054127,0.51967454
-47.5,152.5,152.5,3.846642971,0.512092948
-47.5,157.5,157.5,3.745771408,0.506607354
-47.5,162.5,162.5,3.515946627,0.49677223
-47.5,167.5,167.5,3.104445934,0.479769558
-47.5,172.5,172.5,2.896249533,0.464482784
-47.5,177.5,177.5,2.945473671,0.465771079
-47.5,182.5,-177.5,2.923023224,0.465421498
-47.5,187.5,-172.5,2.8668859,0.462495893
-47.5,192.5,-167.5,3.104268789,0.463695854
-47.5,197.5,-162.5,3.50428319,0.463630795
-47.5,202.5,-157.5,3.56367445,0.450296372
-47.5,207.5,-152.5,3.483548641,0.436292082
-47.5,212.5,-147.5,3.672957182,0.437289566
-47.5,217.5,-142.5,3.748176098,0.434732884
-47.5,222.5,-137.5,3.44438386,0.421901613
-47.5,227.5,-132.5,3.115622044,0.412299693
-47.5,232.5,-127.5,2.903981686,0.406631142
-47.5,237.5,-122.5,2.756408215,0.402723968
-47.5,242.5,-117.5,2.552240372,0.393562913
-47.5,247.5,-112.5,2.369269371,0.386481255
-47.5,252.5,-107.5,2.465046883,0.384205461
-47.5,257.5,-102.5,2.657029152,0.386054844
-47.5,262.5,-97.5,2.75589323,0.385588855
-47.5,267.5,-92.5,2.833437681,0.383895904
